zip,market,tier,state,lat,lng
58748,"Non-compliant",nc,ND,48.6867,-100.6716
97394,"Non-compliant",nc,OR,44.4085,-124.0351
01074,"Non-compliant",nc,MA,42.3854,-72.0954
04276,"Non-compliant",nc,ME,44.5434,-70.5645
06079,"Out of Coverage",ooc,CT,42.0320,-73.4038
12124,"Non-compliant",nc,NY,42.4442,-73.7882
62932,"Out of Coverage",ooc,IL,37.9155,-89.2336
38281,"Out of Coverage",ooc,TN,36.4242,-89.0570
37764,"Out of Coverage",ooc,TN,35.9722,-83.6171
75689,"Out of Coverage",ooc,TX,32.1826,-94.9355
50522,"Non-compliant",nc,IA,43.2062,-94.2122
28689,"Out of Coverage",ooc,NC,36.0369,-80.8967
74875,"Non-compliant",nc,OK,35.8759,-96.9623
06537,"Out of Coverage",ooc,CT,41.3657,-72.9275
97491,"Non-compliant",nc,OR,42.6093,-124.3886
45862,"Out of Coverage",ooc,OH,40.6777,-84.5152
66506,"Non-compliant",nc,KS,39.1960,-96.5839
71068,"Non-compliant",nc,LA,32.3263,-93.2982
57641,"Non-compliant",nc,SD,45.7084,-101.1546
54002,"Non-compliant",nc,WI,44.9657,-92.3655
86508,"Out of Coverage",ooc,AZ,35.3539,-109.0537
32175,"Out of Coverage",ooc,FL,29.2858,-81.0559
24737,"Non-compliant",nc,WV,37.3539,-81.2518
34608,"Out of Coverage",ooc,FL,28.4797,-82.5562
97488,"Non-compliant",nc,OR,44.1300,-122.5044
51527,"Non-compliant",nc,IA,41.8053,-95.3537
25063,"Non-compliant",nc,WV,38.5647,-80.9764
48870,"Non-compliant",nc,MI,43.1125,-84.9856
45332,"Out of Coverage",ooc,OH,39.9899,-84.7901
61272,"Out of Coverage",ooc,IL,41.2153,-90.9879
64433,"Non-compliant",nc,MO,40.2428,-94.6869
13848,"Non-compliant",nc,NY,42.2147,-75.7277
99110,"Non-compliant",nc,WA,48.0071,-117.5579
58370,"Non-compliant",nc,ND,47.9850,-98.8721
37398,"Out of Coverage",ooc,TN,35.1864,-86.1130
75902,"Out of Coverage",ooc,TX,31.3623,-94.7611
70118,"Non-compliant",nc,LA,29.9504,-90.1236
61637,"Out of Coverage",ooc,IL,40.7025,-89.5898
13790,"Non-compliant",nc,NY,42.1267,-75.9685
68841,"Non-compliant",nc,NE,40.7654,-98.1434
70721,"Non-compliant",nc,LA,30.2184,-91.0925
53543,"Non-compliant",nc,WI,43.0524,-90.3650
36103,"Non-compliant",nc,AL,32.3462,-86.2873
70787,"Non-compliant",nc,LA,30.9468,-91.4612
49107,"Non-compliant",nc,MI,41.8327,-86.3708
32006,"Out of Coverage",ooc,FL,30.1070,-81.7167
33473,"Out of Coverage",ooc,FL,26.5088,-80.1896
15238,"Non-compliant",nc,PA,40.5346,-79.8805
47736,"Non-compliant",nc,IN,37.9971,-87.5750
33949,"Out of Coverage",ooc,FL,26.9939,-82.0984
51601,"Non-compliant",nc,IA,40.7581,-95.3648
40981,"Out of Coverage",ooc,KY,37.3313,-83.3870
76058,"Out of Coverage",ooc,TX,32.4663,-97.4011
12035,"Non-compliant",nc,NY,42.7370,-74.3451
14609,"Non-compliant",nc,NY,43.1740,-77.5637
48735,"Non-compliant",nc,MI,43.6543,-83.2628
05146,"Non-compliant",nc,VT,43.1601,-72.5972
56324,"Non-compliant",nc,MN,46.1738,-95.9156
59812,"Non-compliant",nc,MT,46.8721,-113.9940
83452,"Non-compliant",nc,ID,43.7814,-111.2118
22907,"Non-compliant",nc,VA,38.0401,-78.4851
12929,"Non-compliant",nc,NY,44.7200,-73.7192
67410,"Non-compliant",nc,KS,38.9371,-97.2063
39296,"Non-compliant",nc,MS,32.2988,-90.1848
77969,"Out of Coverage",ooc,TX,28.7671,-96.6492
12583,"Non-compliant",nc,NY,42.0579,-73.9025
21648,"Non-compliant",nc,MD,38.4782,-76.2412
73757,"Non-compliant",nc,OK,36.2753,-97.4526
23175,"Non-compliant",nc,VA,37.6356,-76.5918
73734,"Non-compliant",nc,OK,35.9848,-97.9067
18435,"Non-compliant",nc,PA,41.4820,-74.9860
44046,"Out of Coverage",ooc,OH,41.5384,-81.0734
76887,"Out of Coverage",ooc,TX,30.9959,-99.1682
27406,"Out of Coverage",ooc,NC,36.0220,-79.7821
97738,"Non-compliant",nc,OR,43.5558,-119.0816
38222,"Out of Coverage",ooc,TN,36.4146,-88.1515
12537,"Non-compliant",nc,NY,41.5824,-73.9363
33336,"Out of Coverage",ooc,FL,26.1219,-80.1436
67207,"Non-compliant",nc,KS,37.6710,-97.2179
